0,111000001100100101000101010111100001000001100100
1,001000001100100101000101010111100001000001100100
2,010000001100100101000101010111100001000001100100
3,011100001100100101000101010111100001000001100100
4,011010001100100101000101010111100001000001100100
5,011001001100100101000101010111100001000001100100
6,011000101100100101000101010111100001000001100100
7,011000011100100101000101010111100001000001100100
8,011000000100100101000101010111100001000001100100
9,011000001000100101000101010111100001000001100100
10,011000001110100101000101010111100001000001100100
11,011000001101100101000101010111100001000001100100
12,011000001100000101000101010111100001000001100100
13,011000001100110101000101010111100001000001100100
14,011000001100101101000101010111100001000001100100
15,011000001100100001000101010111100001000001100100
16,011000001100100111000101010111100001000001100100
17,011000001100100100000101010111100001000001100100
18,011000001100100101100101010111100001000001100100
19,011000001100100101010101010111100001000001100100
20,011000001100100101001101010111100001000001100100
21,011000001100100101000001010111100001000001100100
22,011000001100100101000111010111100001000001100100
23,011000001100100101000100010111100001000001100100
24,011000001100100101000101110111100001000001100100
25,011000001100100101000101000111100001000001100100
26,011000001100100101000101011111100001000001100100
27,011000001100100101000101010011100001000001100100
28,011000001100100101000101010101100001000001100100
29,011000001100100101000101010110100001000001100100
30,011000001100100101000101010111000001000001100100
31,011000001100100101000101010111110001000001100100
32,011000001100100101000101010111101001000001100100
33,011000001100100101000101010111100101000001100100
34,011000001100100101000101010111100011000001100100
35,011000001100100101000101010111100000000001100100
36,011000001100100101000101010111100001100001100100
37,011000001100100101000101010111100001010001100100
38,011000001100100101000101010111100001001001100100
39,011000001100100101000101010111100001000101100100
40,011000001100100101000101010111100001000011100100
41,011000001100100101000101010111100001000000100100
42,011000001100100101000101010111100001000001000100
43,011000001100100101000101010111100001000001110100
44,011000001100100101000101010111100001000001101100
45,011000001100100101000101010111100001000001100000
46,011000001100100101000101010111100001000001100110
47,011000001100100101000101010111100001000001100101
